Country,HDI rank,2015 Human Development Index (HDI) (Value),2015 Inequality-adjusted HDI (IHDI) Value,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2015 Inequality-adjusted HDI (IHDI) Difference from HDI rank,2015 Coefficient of human inequality,2010- 2015 Inequality in life expectancy (%),2015 Inequality-adjusted life expectancy index Value,2015 Inequality in education (%), 2015 Inequality-adjusted education index (Value),2015 Inequality in income (%),2015 Inequality-adjusted income index (Value),Income inequality (Quintile ratio),Income inequality (Palma ratio),Gini coefficient
Saint Lucia,92,0.735,0.618,16,7,15.6,10.1,0.763,9.2,0.614,27.4,0.503,..,..,..
Jamaica,94,0.73,0.609,16.6,6,15.9,11.9,0.757,5.6,0.64,30.1,0.467,..,..,..
Colombia,95,0.727,0.548,24.6,-9,23.7,14.4,0.714,17.4,0.52,39.4,0.444,17.3,3.9,53.5
Dominica,96,0.726,..,..,..,..,..,..,..,..,..,..,..,..,..
Suriname,97,0.725,0.551,24,-7,23.3,13.6,0.682,19,0.51,37.3,0.481,..,..,..
Tunisia,97,0.725,0.562,22.5,-3,21.9,12.2,0.743,34.6,0.421,18.9,0.567,6.4,1.5,35.8
Dominican Republic,99,0.722,0.565,21.7,1,21.6,16.8,0.687,19.9,0.498,28.1,0.527,10.8,2.7,47.1
Saint Vincent and the Grenadines,99,0.722,..,..,..,..,12.7,0.712,..,..,..,..,..,..,..
Tonga,101,0.721,..,..,..,..,13.6,0.704,..,..,..,..,6.9,1.7,38.1
Libya,102,0.716,..,..,..,..,15.8,0.671,..,..,..,..,..,..,..
Belize,103,0.706,0.546,22.7,-6,21.8,11.6,0.681,15.9,0.592,37.9,0.403,..,..,..
Samoa,104,0.704,..,..,..,..,13.3,0.716,..,..,..,..,7.9,2.2,42.7
Maldives,105,0.701,0.529,24.6,-9,23.4,7.1,0.814,40,0.337,23.2,0.539,7.1,1.7,38.4
Uzbekistan,105,0.701,0.59,15.8,10,15.3,24.3,0.575,1.4,0.729,20.1,0.489,..,..,..
Moldova (Republic of),107,0.699,0.628,10.2,21,10.1,9,0.724,7.3,0.672,14,0.509,3.8,0.9,26.8
Botswana,108,0.698,0.433,37.9,-23,36.2,20.9,0.542,32.1,0.447,55.5,0.335,22.9,5.8,60.5
